county,state,voteshare,year,dem1912_3party,note,incparty,incumbency,attacks,electionyearattacks,coastal
BIBB,AL,0.8747368454933167,1904,NA,.,-1,0,0,0,0
BIBB,AL,0.8286038637161255,1908,NA,.,-1,0,0,0,0
BIBB,AL,0.953580915927887,1912,0.7901098728179932,.,-1,-1,0,0,0
BIBB,AL,0.8515709638595581,1916,NA,.,1,1,0,0,0
BIBB,AL,0.819057822227478,1920,NA,.,1,0,0,0,0
BIBB,AL,0.7768293023109436,1924,NA,.,-1,-1,0,0,0
BIBB,AL,0.5421686768531799,1928,NA,.,-1,0,0,0,0
BIBB,AL,0.9186164736747742,1932,NA,.,-1,-1,0,0,0
BIBB,AL,0.9076305031776428,1936,NA,.,1,1,0,0,0
BIBB,AL,0.9132189750671387,1940,NA,.,1,1,0,0,0
BIBB,AL,0.8405650854110718,1944,NA,.,1,1,0,0,0
BIBB,AL,0.9057692289352417,1948,NA,.,1,1,0,0,0
BIBB,AL,0.715448796749115,1952,NA,.,1,0,0,0,0
BIBB,AL,0.5942999720573425,1956,NA,.,-1,-1,0,0,0
BIBB,AL,0.617900013923645,1960,NA,.,-1,0,0,0,0
BIBB,AL,0,1964,NA,.,1,1,0,0,0
BIBB,AL,0.7125999927520752,1968,NA,.,1,0,0,0,0
BIBB,AL,0.20080000162124634,1972,NA,.,-1,-1,0,0,0
BIBB,AL,0.641700029373169,1976,NA,.,-1,-1,0,0,0
BIBB,AL,0.5541999936103821,1980,NA,.,1,1,0,0,0
BIBB,AL,0.3833000063896179,1984,NA,.,-1,-1,0,0,0
BIBB,AL,0.4375,1988,NA,.,-1,0,0,0,0
BIBB,AL,0.4814000129699707,1992,NA,.,-1,-1,0,0,0
BIBB,AL,0.47749999165534973,1996,NA,.,1,1,0,0,0
BIBB,AL,0.3880999982357025,2e3,NA,.,1,0,0,0,0
BIBB,AL,0.27630001306533813,2004,NA,.,-1,-1,0,0,0
BIBB,AL,0.2685000002384186,2008,NA,.,-1,0,0,0,0
BIBB,AL,0.2641947865486145,2012,NA,.,1,1,0,0,0
BLOUNT,AL,0.6650000214576721,1872,NA,.,-1,-1,0,0,0
BLOUNT,AL,0.8019999861717224,1876,NA,.,-1,0,0,0,0
BLOUNT,AL,0.8349999785423279,1880,NA,.,-1,0,0,0,0
BLOUNT,AL,0.7630000114440918,1884,NA,.,-1,0,0,0,0
BLOUNT,AL,0.8335005044937134,1888,NA,.,1,1,0,0,0
BLOUNT,AL,0.9819999933242798,1892,NA,.,-1,-1,0,0,0
BLOUNT,AL,0.4195011258125305,1896,NA,.,1,0,0,0,0
BLOUNT,AL,0.5669882297515869,1900,NA,.,-1,-1,0,0,0
BLOUNT,AL,0.60317462682724,1904,NA,.,-1,0,0,0,0
BLOUNT,AL,0.538226306438446,1908,NA,.,-1,0,0,0,0
BLOUNT,AL,0.6634877324104309,1912,0.49391481280326843,.,-1,-1,0,0,0
BLOUNT,AL,0.5475708246231079,1916,NA,.,1,1,0,0,0
BLOUNT,AL,0.5050403475761414,1920,NA,.,1,0,0,0,0
BLOUNT,AL,0.5783504843711853,1924,NA,.,-1,-1,0,0,0
BLOUNT,AL,0.4790000021457672,1928,NA,.,-1,0,0,0,0
BLOUNT,AL,0.7934893369674683,1932,NA,.,-1,-1,0,0,0
BLOUNT,AL,0.7891018986701965,1936,NA,.,1,1,0,0,0
BLOUNT,AL,0.7646464705467224,1940,NA,.,1,1,0,0,0
BLOUNT,AL,0.6817269325256348,1944,NA,.,1,1,0,0,0
BLOUNT,AL,0.6967632174491882,1948,NA,.,1,1,0,0,0
BLOUNT,AL,0.6476362347602844,1952,NA,.,1,0,0,0,0
BLOUNT,AL,0.5497000217437744,1956,NA,.,-1,-1,0,0,0
BLOUNT,AL,0.5717999935150146,1960,NA,.,-1,0,0,0,0
BLOUNT,AL,0,1964,NA,.,1,1,0,0,0
BLOUNT,AL,0.1412000060081482,1968,NA,.,1,0,0,0,0
BLOUNT,AL,0.19609999656677246,1972,NA,.,-1,-1,0,0,0
BLOUNT,AL,0.6108999848365784,1976,NA,.,-1,-1,0,0,0
BLOUNT,AL,0.45339998602867126,1980,NA,.,1,1,0,0,0
BLOUNT,AL,0.3052000105381012,1984,NA,.,-1,-1,0,0,0
BLOUNT,AL,0.33880001306533813,1988,NA,.,-1,0,0,0,0
BLOUNT,AL,0.37950000166893005,1992,NA,.,-1,-1,0,0,0
BLOUNT,AL,0.35850000381469727,1996,NA,.,1,1,0,0,0
BLOUNT,AL,0.28209999203681946,2e3,NA,.,1,0,0,0,0
BLOUNT,AL,0.18469999730587006,2004,NA,.,-1,-1,0,0,0
BLOUNT,AL,0.14730000495910645,2008,NA,.,-1,0,0,0,0
BLOUNT,AL,0.12513944506645203,2012,NA,.,1,1,0,0,0
BULLOCK,AL,0.28299999237060547,1872,NA,.,-1,-1,0,0,0
BULLOCK,AL,0.6200000047683716,1876,NA,.,-1,0,0,0,0
BULLOCK,AL,0.1599999964237213,1880,NA,.,-1,0,0,0,0
BULLOCK,AL,0.6619859337806702,1884,NA,.,-1,0,0,0,0
BULLOCK,AL,0.6060000061988831,1888,NA,.,1,1,0,0,0
BULLOCK,AL,0.9779999852180481,1892,NA,.,-1,-1,0,0,0
BULLOCK,AL,0.7110874056816101,1896,NA,.,1,0,0,0,0
BULLOCK,AL,0.8551307916641235,1900,NA,.,-1,-1,0,0,0
BULLOCK,AL,1,1904,NA,.,-1,0,0,0,0
BULLOCK,AL,0.9869999885559082,1908,NA,.,-1,0,0,0,0
BULLOCK,AL,0.9949849843978882,1912,0.9919999837875366,.,-1,-1,0,0,0
BULLOCK,AL,0.9949849843978882,1916,NA,.,1,1,0,0,0
BULLOCK,AL,0.9979979991912842,1920,NA,.,1,0,0,0,0
BULLOCK,AL,0.9899799823760986,1924,NA,.,-1,-1,0,0,0
BULLOCK,AL,0.7369999885559082,1928,NA,.,-1,0,0,0,0
BULLOCK,AL,0.9879879951477051,1932,NA,.,-1,-1,0,0,0
BULLOCK,AL,0.9959959983825684,1936,NA,.,1,1,0,0,0
BULLOCK,AL,0.9860000014305115,1940,NA,.,1,1,0,0,0
BULLOCK,AL,0.9779999852180481,1944,NA,.,1,1,0,0,0
BULLOCK,AL,0.9880715608596802,1948,NA,.,1,1,0,0,0
BULLOCK,AL,0.6750349998474121,1952,NA,.,1,0,0,0,0
BULLOCK,AL,0.7275999784469604,1956,NA,.,-1,-1,0,0,0
BULLOCK,AL,0.6704000234603882,1960,NA,.,-1,0,0,0,0
BULLOCK,AL,0,1964,NA,.,1,1,0,0,0
BULLOCK,AL,0.9118000268936157,1968,NA,.,1,0,0,0,0
BULLOCK,AL,0.5159000158309937,1972,NA,.,-1,-1,0,0,0
BULLOCK,AL,0.7046999931335449,1976,NA,.,-1,-1,0,0,0
BULLOCK,AL,0.7325000166893005,1980,NA,.,1,1,0,0,0
BULLOCK,AL,0.6758000254631042,1984,NA,.,-1,-1,0,0,0
BULLOCK,AL,0.6872000098228455,1988,NA,.,-1,0,0,0,0
BULLOCK,AL,0.7222999930381775,1992,NA,.,-1,-1,0,0,0
BULLOCK,AL,0.7272999882698059,1996,NA,.,1,1,0,0,0
BULLOCK,AL,0.7031999826431274,2e3,NA,.,1,0,0,0,0
BULLOCK,AL,0.6823999881744385,2004,NA,.,-1,-1,0,0,0
BULLOCK,AL,0.7425000071525574,2008,NA,.,-1,0,0,0,0
BULLOCK,AL,0.7644760608673096,2012,NA,.,1,1,0,0,0
BUTLER,AL,0.574999988079071,1872,NA,.,-1,-1,0,0,0
BUTLER,AL,0.6610000133514404,1876,NA,.,-1,0,0,0,0
BUTLER,AL,0.7017017006874084,1880,NA,.,-1,0,0,0,0
BUTLER,AL,0.6151515245437622,1884,NA,.,-1,0,0,0,0
BUTLER,AL,0.5856854915618896,1888,NA,.,1,1,0,0,0
BUTLER,AL,0.9229999780654907,1892,NA,.,-1,-1,0,0,0
BUTLER,AL,0.5976253151893616,1896,NA,.,1,0,0,0,0
BUTLER,AL,0.3907563090324402,1900,NA,.,-1,-1,0,0,0
BUTLER,AL,0.9064516425132751,1904,NA,.,-1,0,0,0,0
BUTLER,AL,0.8410041928291321,1908,NA,.,-1,0,0,0,0
BUTLER,AL,0.9130913019180298,1912,0.8443540334701538,.,-1,-1,0,0,0
BUTLER,AL,0.9375,1916,NA,.,1,1,0,0,0
BUTLER,AL,0.8946301937103271,1920,NA,.,1,0,0,0,0
BUTLER,AL,0.9174008965492249,1924,NA,.,-1,-1,0,0,0
